corpus	article_num	article_len	overlap_len	overlap_last_token	overlap_freq	5gram_logprob	below_threshold
provo	2	69	21	41	1	-52.333227	1
provo	3	61	57	60	1	-118.5577106	1
provo	4	74	10	31	1	-14.49071662	0
provo	5	62	10	31	1	-16.861581	0
provo	6	61	6	27	10	-11.34555	0
provo	6	61	6	30	3	-9.236907	0
provo	6	61	6	49	8	-9.19344	0
provo	6	61	6	50	1	-10.46009	0
provo	7	59	6	9	1	-10.14976262	0
provo	7	59	6	40	1	-13.13179	0
provo	8	63	7	62	1	-14.1589154	0
provo	9	57	8	17	1	-13.816499	0
provo	9	57	8	31	1	-15.882295	0
provo	10	64	7	39	1	-12.064099	0
provo	11	74	35	73	1	-78.950493	1
provo	12	61	7	7	3	-10.922241	0
provo	12	61	7	22	1	-10.889012	0
provo	13	55	35	48	1	-87.5983181	1
provo	14	60	59	59	1	-163.009781	1
provo	15	52	5	16	1	-10.24589	0
provo	15	52	5	17	6	-9.587113	0
provo	15	52	5	43	6	-10.476641	0
provo	15	52	5	51	9	-13.53299	0
provo	16	54	6	21	1	-11.727643	0
provo	16	54	6	25	3	-12.046422	0
provo	16	54	6	26	9	-10.60574	0
provo	16	54	6	35	23	-10.168531	0
provo	16	54	6	43	25	-10.125402	0
provo	16	54	6	53	43	-9.173899	0
provo	17	62	31	33	1	-88.574541	1
provo	18	57	56	56	1	-120.9947493	1
provo	19	54	24	24	1	-52.501432	1
provo	19	54	24	49	1	-66.4208	1
provo	20	51	11	41	2	-23.064043	0
provo	21	55	34	34	1	-80.76070462	1
provo	22	68	9	13	1	-11.048059	0
provo	22	68	9	37	1	-12.037992	0
provo	23	51	7	22	2	-16.25037	0
provo	24	50	7	45	2	-13.706239	0
provo	25	55	55	54	1	-128.644304	1
provo	26	59	7	42	4	-10.54486	0
provo	26	59	7	54	2	-9.678692	0
provo	27	52	18	18	1	-40.8857454	1
provo	28	52	6	36	2	-13.269829	0
provo	29	45	6	44	2	-10.322416	0
provo	30	44	7	14	11	-12.195494	0
provo	31	43	42	42	1	-94.6407906	1
provo	32	51	50	50	1	-129.257808	1
provo	33	72	7	20	1	-12.251473	0
provo	34	54	38	38	1	-71.1145927	1
provo	35	56	7	54	1	-15.62159	0
provo	35	56	7	55	2	-13.12903	0
